t,x,y,z,Ox,Oy,Oz,q0,q1,q2,q3,vx, vy, vz, T_trans, T_rot, U_gr, U_em, E, q_norm,Frx, Fry, Frz, Fdx, Fdy, Fdz, Fextx, Fexty, Fextz
0.000000000e+00,0.000000000e+00,-1.553571424e-11,0.000000000e+00,6.214285678e-04,0.000000000e+00,0.000000000e+00,1.000000000e+00,1.553571419e-09,0.000000000e+00,0.000000000e+00,0.000000000e+00,-3.107142839e-06,-0.000000000e+00,1.930867324e-14,7.723469297e-15,0.000000000e+00,-4.925000003e-05,-4.925000000e-05,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-2.138264494e-16,-0.000000000e+00,0.000000000e+00,-2.138264494e-16,0.000000000e+00
1.000000000e-04,0.000000000e+00,-1.879820762e-09,0.000000000e+00,6.835709436e-03,0.000000000e+00,0.000000000e+00,1.000000000e+00,1.879820756e-07,0.000000000e+00,0.000000000e+00,0.000000000e+00,-3.417854718e-05,-0.000000000e+00,2.336346175e-12,9.345384699e-13,0.000000000e+00,-4.925000327e-05,-4.925000000e-05,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-2.587296411e-14,-0.000000000e+00,0.000000000e+00,-2.587296411e-14,0.000000000e+00
2.000000000e-04,0.000000000e+00,-6.851241143e-09,0.000000000e+00,1.304996626e-02,0.000000000e+00,0.000000000e+00,1.000000000e+00,6.851241122e-07,0.000000000e+00,0.000000000e+00,0.000000000e+00,-6.524983129e-05,-0.000000000e+00,8.515080966e-12,3.406032386e-12,0.000000000e+00,-4.925001192e-05,-4.925000000e-05,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-9.429697819e-14,-0.000000000e+00,0.000000000e+00,-9.429697819e-14,0.000000000e+00
3.000000000e-04,0.000000000e+00,-1.492977937e-08,0.000000000e+00,1.926417717e-02,0.000000000e+00,0.000000000e+00,1.000000000e+00,1.492977932e-06,0.000000000e+00,0.000000000e+00,0.000000000e+00,-9.632088585e-05,-0.000000000e+00,1.855542610e-11,7.422170441e-12,0.000000000e+00,-4.925002598e-05,-4.925000000e-05,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-2.054849059e-13,-0.000000000e+00,0.000000000e+00,-2.054849059e-13,0.000000000e+00
4.000000000e-04,0.000000000e+00,-2.611540702e-08,0.000000000e+00,2.547832031e-02,0.000000000e+00,0.000000000e+00,1.000000000e+00,2.611540694e-06,0.000000000e+00,0.000000000e+00,0.000000000e+00,-1.273916016e-04,-0.000000000e+00,3.245724030e-11,1.298289612e-11,0.000000000e+00,-4.925004544e-05,-4.925000000e-05,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-3.594351825e-13,-0.000000000e+00,0.000000000e+00,-3.594351825e-13,0.000000000e+00
5.000000000e-04,0.000000000e+00,-4.040808474e-08,0.000000000e+00,3.169237383e-02,0.000000000e+00,0.000000000e+00,1.000000000e+00,4.040808463e-06,0.000000000e+00,0.000000000e+00,0.000000000e+00,-1.584618691e-04,-0.000000000e+00,5.022032794e-11,2.008813118e-11,0.000000000e+00,-4.925007031e-05,-4.925000000e-05,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-5.561456419e-13,-0.000000000e+00,0.000000000e+00,-5.561456419e-13,0.000000000e+00
6.000000000e-04,0.000000000e+00,-5.780776226e-08,0.000000000e+00,3.790631585e-02,0.000000000e+00,0.000000000e+00,1.000000000e+00,5.780776209e-06,0.000000000e+00,0.000000000e+00,0.000000000e+00,-1.895315793e-04,-0.000000000e+00,7.184443907e-11,2.873777563e-11,0.000000000e+00,-4.925010058e-05,-4.925000000e-05,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-7.956135160e-13,-0.000000000e+00,0.000000000e+00,-7.956135160e-13,0.000000000e+00
7.000000000e-04,0.000000000e+00,-7.831437837e-08,0.000000000e+00,4.412012453e-02,0.000000000e+00,0.000000000e+00,1.000000000e+00,7.831437814e-06,0.000000000e+00,0.000000000e+00,0.000000000e+00,-2.206006226e-04,-0.000000000e+00,9.732926941e-11,3.893170776e-11,0.000000000e+00,-4.925013626e-05,-4.925000000e-05,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-1.077835435e-12,-0.000000000e+00,0.000000000e+00,-1.077835435e-12,0.000000000e+00
8.000000000e-04,0.000000000e+00,-1.019278609e-07,0.000000000e+00,5.033377799e-02,0.000000000e+00,0.000000000e+00,9.999999999e-01,1.019278606e-05,0.000000000e+00,0.000000000e+00,0.000000000e+00,-2.516688899e-04,-0.000000000e+00,1.266744603e-10,5.066978413e-11,0.000000000e+00,-4.925017734e-05,-4.925000000e-05,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-1.402807428e-12,-0.000000000e+00,0.000000000e+00,-1.402807428e-12,0.000000000e+00
9.000000000e-04,0.000000000e+00,-1.286481268e-07,0.000000000e+00,5.654725438e-02,0.000000000e+00,0.000000000e+00,9.999999999e-01,1.286481265e-05,0.000000000e+00,0.000000000e+00,0.000000000e+00,-2.827362719e-04,-0.000000000e+00,1.598795989e-10,6.395183957e-11,0.000000000e+00,-4.925022383e-05,-4.925000000e-05,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-1.770524921e-12,-0.000000000e+00,0.000000000e+00,-1.770524921e-12,0.000000000e+00
