t,x,y,z,Ox,Oy,Oz,q0,q1,q2,q3,vx, vy, vz, T_trans, T_rot, U_gr, U_em, E, q_norm,Frx, Fry, Frz, Fdx, Fdy, Fdz, Fextx, Fexty, Fextz
0.000000000e+00,0.000000000e+00,-1.552809938e-11,0.000000000e+00,6.209717319e-04,0.000000000e+00,0.000000000e+00,1.000000000e+00,1.552429330e-09,0.000000000e+00,0.000000000e+00,0.000000000e+00,-3.104858659e-06,-0.000000000e+00,1.928029459e-14,7.712117836e-15,0.000000000e+00,-4.925000003e-05,-4.925000000e-05,1.000000000e+00,0.000000000e+00,-2.557654395e-06,-0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-2.557654395e-06,0.000000000e+00
1.000000000e-04,0.000000000e+00,-1.869722548e-09,0.000000000e+00,6.780702418e-03,0.000000000e+00,0.000000000e+00,1.000000000e+00,1.869680982e-07,0.000000000e+00,0.000000000e+00,0.000000000e+00,-3.390351209e-05,-0.000000000e+00,2.298896264e-12,9.195585055e-13,0.000000000e+00,-4.925000325e-05,-4.925000003e-05,1.000000000e+00,0.000000000e+00,-2.792820309e-05,-0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-2.792820309e-05,0.000000000e+00
2.000000000e-04,0.000000000e+00,-6.781235809e-09,0.000000000e+00,1.285046428e-02,0.000000000e+00,0.000000000e+00,1.000000000e+00,6.781157027e-07,0.000000000e+00,0.000000000e+00,0.000000000e+00,-6.425232139e-05,-0.000000000e+00,8.256721607e-12,3.302688643e-12,0.000000000e+00,-4.925001180e-05,-4.925000024e-05,1.000000000e+00,0.000000000e+00,-5.292767441e-05,-0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-5.292767441e-05,0.000000000e+00
3.000000000e-04,0.000000000e+00,-1.470540797e-08,0.000000000e+00,1.883155246e-02,0.000000000e+00,0.000000000e+00,1.000000000e+00,1.470529251e-06,0.000000000e+00,0.000000000e+00,0.000000000e+00,-9.415776231e-05,-0.000000000e+00,1.773136841e-11,7.092547363e-12,0.000000000e+00,-4.925002559e-05,-4.925000076e-05,1.000000000e+00,0.000000000e+00,-7.756097481e-05,-0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-7.756097481e-05,0.000000000e+00
4.000000000e-04,0.000000000e+00,-2.559822242e-08,0.000000000e+00,2.472524497e-02,0.000000000e+00,0.000000000e+00,1.000000000e+00,2.559807081e-06,0.000000000e+00,0.000000000e+00,0.000000000e+00,-1.236262249e-04,-0.000000000e+00,3.056688695e-11,1.222675478e-11,0.000000000e+00,-4.925004454e-05,-4.925000175e-05,1.000000000e+00,0.000000000e+00,-1.018329785e-04,-0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-1.018329785e-04,0.000000000e+00
5.000000000e-04,0.000000000e+00,-3.941629726e-08,0.000000000e+00,3.053280277e-02,0.000000000e+00,0.000000000e+00,1.000000000e+00,3.941611001e-06,0.000000000e+00,0.000000000e+00,0.000000000e+00,-1.526640138e-04,-0.000000000e+00,4.661260224e-11,1.864504089e-11,0.000000000e+00,-4.925006858e-05,-4.925000332e-05,1.000000000e+00,0.000000000e+00,-1.257485258e-04,-0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-1.257485258e-04,0.000000000e+00
6.000000000e-04,0.000000000e+00,-5.611687683e-08,0.000000000e+00,3.625546988e-02,0.000000000e+00,0.000000000e+00,1.000000000e+00,5.611665448e-06,0.000000000e+00,0.000000000e+00,0.000000000e+00,-1.812773494e-04,-0.000000000e+00,6.572295481e-11,2.628918192e-11,0.000000000e+00,-4.925009764e-05,-4.925000563e-05,1.000000000e+00,0.000000000e+00,-1.493124209e-04,-0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-1.493124209e-04,0.000000000e+00
7.000000000e-04,0.000000000e+00,-7.565782332e-08,0.000000000e+00,4.189447356e-02,0.000000000e+00,0.000000000e+00,1.000000000e+00,7.565756636e-06,0.000000000e+00,0.000000000e+00,0.000000000e+00,-2.094723678e-04,-0.000000000e+00,8.775734574e-11,3.510293829e-11,0.000000000e+00,-4.925013164e-05,-4.925000878e-05,1.000000000e+00,0.000000000e+00,-1.725294310e-04,-0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-1.725294310e-04,0.000000000e+00
8.000000000e-04,0.000000000e+00,-9.799760834e-08,0.000000000e+00,4.745102438e-02,0.000000000e+00,0.000000000e+00,1.000000000e+00,9.799731727e-06,0.000000000e+00,0.000000000e+00,0.000000000e+00,-2.372551219e-04,-0.000000000e+00,1.125799858e-10,4.503199430e-11,0.000000000e+00,-4.925017051e-05,-4.925001289e-05,1.000000000e+00,0.000000000e+00,-1.954042845e-04,-0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-1.954042845e-04,0.000000000e+00
9.000000000e-04,0.000000000e+00,-1.230953047e-07,0.000000000e+00,5.292631641e-02,0.000000000e+00,0.000000000e+00,9.999999999e-01,1.230949800e-05,0.000000000e+00,0.000000000e+00,0.000000000e+00,-2.646315821e-04,-0.000000000e+00,1.400597485e-10,5.602389938e-11,0.000000000e+00,-4.925021417e-05,-4.925001809e-05,1.000000000e+00,0.000000000e+00,-2.179416696e-04,-0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-2.179416696e-04,0.000000000e+00
