t,x,y,z,Ox,Oy,Oz,q0,q1,q2,q3,vx, vy, vz, T_trans, T_rot, U_gr, U_em, E, q_norm,Frx, Fry, Frz, Fdx, Fdy, Fdz, Fextx, Fexty, Fextz
0.000000000e+00,0.000000000e+00,-1.506873091e-11,0.000000000e+00,5.980794012e-04,0.000000000e+00,0.000000000e+00,1.000000000e+00,1.495198503e-09,0.000000000e+00,0.000000000e+00,0.000000000e+00,-2.990397006e-06,-0.000000000e+00,1.788494851e-14,7.153979403e-15,0.000000000e+00,-4.925000003e-05,-4.925000000e-05,1.000000000e+00,0.000000000e+00,-7.845320000e-05,-0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-7.845320000e-05,0.000000000e+00
1.000000000e-04,0.000000000e+00,-1.797631724e-09,0.000000000e+00,6.532170479e-03,0.000000000e+00,0.000000000e+00,1.000000000e+00,1.797514972e-07,0.000000000e+00,0.000000000e+00,0.000000000e+00,-3.266085240e-05,-0.000000000e+00,2.133462558e-12,8.533850234e-13,0.000000000e+00,-4.925000313e-05,-4.925000014e-05,1.000000000e+00,0.000000000e+00,-7.845320000e-05,-0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-7.845320000e-05,0.000000000e+00
2.000000000e-04,0.000000000e+00,-6.547235380e-09,0.000000000e+00,1.246623858e-02,0.000000000e+00,0.000000000e+00,1.000000000e+00,6.547118615e-07,0.000000000e+00,0.000000000e+00,0.000000000e+00,-6.233119289e-05,-0.000000000e+00,7.770355214e-12,3.108142086e-12,0.000000000e+00,-4.925001139e-05,-4.925000051e-05,1.000000000e+00,0.000000000e+00,-7.845320000e-05,-0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-7.845320000e-05,0.000000000e+00
3.000000000e-04,0.000000000e+00,-1.426386299e-08,0.000000000e+00,1.840026282e-02,0.000000000e+00,0.000000000e+00,1.000000000e+00,1.426374620e-06,0.000000000e+00,0.000000000e+00,0.000000000e+00,-9.200131411e-05,-0.000000000e+00,1.692848360e-11,6.771393438e-12,0.000000000e+00,-4.925002482e-05,-4.925000112e-05,1.000000000e+00,0.000000000e+00,-7.845320000e-05,-0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-7.845320000e-05,0.000000000e+00
4.000000000e-04,0.000000000e+00,-2.494748741e-08,0.000000000e+00,2.433422234e-02,0.000000000e+00,0.000000000e+00,1.000000000e+00,2.494737059e-06,0.000000000e+00,0.000000000e+00,0.000000000e+00,-1.216711117e-04,-0.000000000e+00,2.960771884e-11,1.184308753e-11,0.000000000e+00,-4.925004341e-05,-4.925000196e-05,1.000000000e+00,0.000000000e+00,-7.845320000e-05,-0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-7.845320000e-05,0.000000000e+00
5.000000000e-04,0.000000000e+00,-3.859807106e-08,0.000000000e+00,3.026809625e-02,0.000000000e+00,0.000000000e+00,1.000000000e+00,3.859795420e-06,0.000000000e+00,0.000000000e+00,0.000000000e+00,-1.513404812e-04,-0.000000000e+00,4.580788252e-11,1.832315301e-11,0.000000000e+00,-4.925006716e-05,-4.925000303e-05,1.000000000e+00,0.000000000e+00,-7.845320000e-05,-0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-7.845320000e-05,0.000000000e+00
6.000000000e-04,0.000000000e+00,-5.521556591e-08,0.000000000e+00,3.620186368e-02,0.000000000e+00,0.000000000e+00,1.000000000e+00,5.521544901e-06,0.000000000e+00,0.000000000e+00,0.000000000e+00,-1.810093184e-04,-0.000000000e+00,6.552874669e-11,2.621149868e-11,0.000000000e+00,-4.925009607e-05,-4.925000433e-05,1.000000000e+00,0.000000000e+00,-7.845320000e-05,-0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-7.845320000e-05,0.000000000e+00
7.000000000e-04,0.000000000e+00,-7.479991351e-08,0.000000000e+00,4.213550376e-02,0.000000000e+00,0.000000000e+00,1.000000000e+00,7.479979655e-06,0.000000000e+00,0.000000000e+00,0.000000000e+00,-2.106775188e-04,-0.000000000e+00,8.877003384e-11,3.550801354e-11,0.000000000e+00,-4.925013015e-05,-4.925000587e-05,1.000000000e+00,0.000000000e+00,-7.845320000e-05,-0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-7.845320000e-05,0.000000000e+00
8.000000000e-04,0.000000000e+00,-9.735104497e-08,0.000000000e+00,4.806899561e-02,0.000000000e+00,0.000000000e+00,1.000000000e+00,9.735092793e-06,0.000000000e+00,0.000000000e+00,0.000000000e+00,-2.403449780e-04,-0.000000000e+00,1.155314169e-10,4.621256677e-11,0.000000000e+00,-4.925016938e-05,-4.925000764e-05,1.000000000e+00,0.000000000e+00,-7.845320000e-05,-0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-7.845320000e-05,0.000000000e+00
9.000000000e-04,0.000000000e+00,-1.228688809e-07,0.000000000e+00,5.400231836e-02,0.000000000e+00,0.000000000e+00,9.999999999e-01,1.228687638e-05,0.000000000e+00,0.000000000e+00,0.000000000e+00,-2.700115918e-04,-0.000000000e+00,1.458125194e-10,5.832500776e-11,0.000000000e+00,-4.925021378e-05,-4.925000964e-05,1.000000000e+00,0.000000000e+00,-7.845320000e-05,-0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-7.845320000e-05,0.000000000e+00
1.000000000e-03,0.000000000e+00,-1.513533317e-07,0.000000000e+00,5.993545114e-02,0.000000000e+00,0.000000000e+00,9.999999999e-01,1.513532145e-05,0.000000000e+00,0.000000000e+00,0.000000000e+00,-2.996772557e-04,-0.000000000e+00,1.796129151e-10,7.184516606e-11,0.000000000e+00,-4.925026333e-05,-4.925001187e-05,1.000000000e+00,0.000000000e+00,-7.845320000e-05,-0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-7.845320000e-05,0.000000000e+00
1.100000000e-03,0.000000000e+00,-1.828042969e-07,0.000000000e+00,6.586837307e-02,0.000000000e+00,0.000000000e+00,9.999999998e-01,1.828041796e-05,0.000000000e+00,0.000000000e+00,0.000000000e+00,-3.293418653e-04,-0.000000000e+00,2.169321285e-10,8.677285141e-11,0.000000000e+00,-4.925031805e-05,-4.925001434e-05,1.000000000e+00,0.000000000e+00,-7.845320000e-05,-0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-7.845320000e-05,0.000000000e+00
1.200000000e-03,0.000000000e+00,-2.172216661e-07,0.000000000e+00,7.180106328e-02,0.000000000e+00,0.000000000e+00,9.999999998e-01,2.172215487e-05,0.000000000e+00,0.000000000e+00,0.000000000e+00,-3.590053164e-04,-0.000000000e+00,2.577696344e-10,1.031078538e-10,0.000000000e+00,-4.925037792e-05,-4.925001704e-05,1.000000000e+00,0.000000000e+00,-7.845320000e-05,-0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-7.845320000e-05,0.000000000e+00
