t,x,y,z,Ox,Oy,Oz,q0,q1,q2,q3,vx, vy, vz, T_trans, T_rot, U_gr, U_em, E, q_norm,Frx, Fry, Frz, Fdx, Fdy, Fdz, Fextx, Fexty, Fextz
0.000000000e+00,0.000000000e+00,-1.553571424e-11,0.000000000e+00,6.214285678e-04,0.000000000e+00,0.000000000e+00,1.000000000e+00,1.553571419e-09,0.000000000e+00,0.000000000e+00,0.000000000e+00,-3.107142839e-06,-0.000000000e+00,1.930867324e-14,7.723469297e-15,0.000000000e+00,-4.925000003e-05,-4.925000000e-05,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
1.000000000e-04,0.000000000e+00,-1.879820762e-09,0.000000000e+00,6.835709436e-03,0.000000000e+00,0.000000000e+00,1.000000000e+00,1.879820756e-07,0.000000000e+00,0.000000000e+00,0.000000000e+00,-3.417854718e-05,-0.000000000e+00,2.336346175e-12,9.345384699e-13,0.000000000e+00,-4.925000327e-05,-4.925000000e-05,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
2.000000000e-04,0.000000000e+00,-6.851241143e-09,0.000000000e+00,1.304996626e-02,0.000000000e+00,0.000000000e+00,1.000000000e+00,6.851241123e-07,0.000000000e+00,0.000000000e+00,0.000000000e+00,-6.524983129e-05,-0.000000000e+00,8.515080966e-12,3.406032386e-12,0.000000000e+00,-4.925001192e-05,-4.925000000e-05,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
3.000000000e-04,0.000000000e+00,-1.492977937e-08,0.000000000e+00,1.926417717e-02,0.000000000e+00,0.000000000e+00,1.000000000e+00,1.492977932e-06,0.000000000e+00,0.000000000e+00,0.000000000e+00,-9.632088586e-05,-0.000000000e+00,1.855542610e-11,7.422170442e-12,0.000000000e+00,-4.925002598e-05,-4.925000000e-05,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
4.000000000e-04,0.000000000e+00,-2.611540702e-08,0.000000000e+00,2.547832032e-02,0.000000000e+00,0.000000000e+00,1.000000000e+00,2.611540694e-06,0.000000000e+00,0.000000000e+00,0.000000000e+00,-1.273916016e-04,-0.000000000e+00,3.245724031e-11,1.298289612e-11,0.000000000e+00,-4.925004544e-05,-4.925000000e-05,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
5.000000000e-04,0.000000000e+00,-4.040808475e-08,0.000000000e+00,3.169237383e-02,0.000000000e+00,0.000000000e+00,1.000000000e+00,4.040808463e-06,0.000000000e+00,0.000000000e+00,0.000000000e+00,-1.584618692e-04,-0.000000000e+00,5.022032795e-11,2.008813118e-11,0.000000000e+00,-4.925007031e-05,-4.925000000e-05,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
6.000000000e-04,0.000000000e+00,-5.780776227e-08,0.000000000e+00,3.790631586e-02,0.000000000e+00,0.000000000e+00,1.000000000e+00,5.780776210e-06,0.000000000e+00,0.000000000e+00,0.000000000e+00,-1.895315793e-04,-0.000000000e+00,7.184443910e-11,2.873777564e-11,0.000000000e+00,-4.925010058e-05,-4.925000000e-05,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
7.000000000e-04,0.000000000e+00,-7.831437838e-08,0.000000000e+00,4.412012454e-02,0.000000000e+00,0.000000000e+00,1.000000000e+00,7.831437815e-06,0.000000000e+00,0.000000000e+00,0.000000000e+00,-2.206006227e-04,-0.000000000e+00,9.732926945e-11,3.893170778e-11,0.000000000e+00,-4.925013626e-05,-4.925000000e-05,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
8.000000000e-04,0.000000000e+00,-1.019278609e-07,0.000000000e+00,5.033377800e-02,0.000000000e+00,0.000000000e+00,9.999999999e-01,1.019278606e-05,0.000000000e+00,0.000000000e+00,0.000000000e+00,-2.516688900e-04,-0.000000000e+00,1.266744604e-10,5.066978416e-11,0.000000000e+00,-4.925017734e-05,-4.925000000e-05,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
9.000000000e-04,0.000000000e+00,-1.286481269e-07,0.000000000e+00,5.654725440e-02,0.000000000e+00,0.000000000e+00,9.999999999e-01,1.286481265e-05,0.000000000e+00,0.000000000e+00,0.000000000e+00,-2.827362720e-04,-0.000000000e+00,1.598795990e-10,6.395183961e-11,0.000000000e+00,-4.925022383e-05,-4.925000000e-05,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00
