t,x,y,z,Ox,Oy,Oz,q0,q1,q2,q3,vx, vy, vz, T_trans, T_rot, U_gr, U_em, E, q_norm,Frx, Fry, Frz, Fdx, Fdy, Fdz, Fextx, Fexty, Fextz
0.000000000e+00,0.000000000e+00,-1.546341914e-11,0.000000000e+00,6.170958725e-04,0.000000000e+00,0.000000000e+00,1.000000000e+00,1.542739681e-09,0.000000000e+00,0.000000000e+00,0.000000000e+00,-3.085479362e-06,-0.000000000e+00,1.904036579e-14,7.616146316e-15,0.000000000e+00,-4.925000003e-05,-4.925000000e-05,1.000000000e+00,0.000000000e+00,-2.420697359e-05,-0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-2.420697359e-05,0.000000000e+00
1.000000000e-04,0.000000000e+00,-1.786866341e-09,0.000000000e+00,6.335048393e-03,0.000000000e+00,0.000000000e+00,1.000000000e+00,1.786496536e-07,0.000000000e+00,0.000000000e+00,0.000000000e+00,-3.167524197e-05,-0.000000000e+00,2.006641907e-12,8.026567629e-13,0.000000000e+00,-4.925000311e-05,-4.925000030e-05,1.000000000e+00,0.000000000e+00,-2.485019271e-04,-0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-2.485019271e-04,0.000000000e+00
2.000000000e-04,0.000000000e+00,-6.226011740e-09,0.000000000e+00,1.130551204e-02,0.000000000e+00,0.000000000e+00,1.000000000e+00,6.225351782e-07,0.000000000e+00,0.000000000e+00,0.000000000e+00,-5.652756019e-05,-0.000000000e+00,6.390730123e-12,2.556292049e-12,0.000000000e+00,-4.925001083e-05,-4.925000189e-05,1.000000000e+00,0.000000000e+00,-4.434723783e-04,-0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-4.434723783e-04,0.000000000e+00
3.000000000e-04,0.000000000e+00,-1.298415280e-08,0.000000000e+00,1.562619746e-02,0.000000000e+00,0.000000000e+00,1.000000000e+00,1.298324062e-06,0.000000000e+00,0.000000000e+00,0.000000000e+00,-7.813098732e-05,-0.000000000e+00,1.220890236e-11,4.883560943e-12,0.000000000e+00,-4.925002259e-05,-4.925000550e-05,1.000000000e+00,0.000000000e+00,-6.129503887e-04,-0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-6.129503887e-04,0.000000000e+00
4.000000000e-04,0.000000000e+00,-2.175813109e-08,0.000000000e+00,1.938204489e-02,0.000000000e+00,0.000000000e+00,1.000000000e+00,2.175699966e-06,0.000000000e+00,0.000000000e+00,0.000000000e+00,-9.691022447e-05,-0.000000000e+00,1.878318321e-11,7.513273286e-12,0.000000000e+00,-4.925003786e-05,-4.925001156e-05,1.000000000e+00,0.000000000e+00,-7.602681511e-04,-0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-7.602681511e-04,0.000000000e+00
5.000000000e-04,0.000000000e+00,-3.228441763e-08,0.000000000e+00,2.264689082e-02,0.000000000e+00,0.000000000e+00,1.000000000e+00,3.228309560e-06,0.000000000e+00,0.000000000e+00,0.000000000e+00,-1.132344541e-04,-0.000000000e+00,2.564408319e-11,1.025763327e-11,0.000000000e+00,-4.925005617e-05,-4.925002027e-05,1.000000000e+00,0.000000000e+00,-8.883227598e-04,-0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-8.883227598e-04,0.000000000e+00
6.000000000e-04,0.000000000e+00,-4.433393203e-08,0.000000000e+00,2.548491835e-02,0.000000000e+00,0.000000000e+00,1.000000000e+00,4.433244433e-06,0.000000000e+00,0.000000000e+00,0.000000000e+00,-1.274245918e-04,-0.000000000e+00,3.247405317e-11,1.298962127e-11,0.000000000e+00,-4.925007714e-05,-4.925003167e-05,1.000000000e+00,0.000000000e+00,-9.996327684e-04,-0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-9.996327684e-04,0.000000000e+00
7.000000000e-04,0.000000000e+00,-5.770753858e-08,0.000000000e+00,2.795191887e-02,0.000000000e+00,0.000000000e+00,1.000000000e+00,5.770590686e-06,0.000000000e+00,0.000000000e+00,0.000000000e+00,-1.397595943e-04,-0.000000000e+00,3.906548842e-11,1.562619537e-11,0.000000000e+00,-4.925010040e-05,-4.925004571e-05,1.000000000e+00,0.000000000e+00,-1.096387507e-03,-0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-1.096387507e-03,0.000000000e+00
8.000000000e-04,0.000000000e+00,-7.223213100e-08,0.000000000e+00,3.009638911e-02,0.000000000e+00,0.000000000e+00,1.000000000e+00,7.223037408e-06,0.000000000e+00,0.000000000e+00,0.000000000e+00,-1.504819456e-04,-0.000000000e+00,4.528963188e-11,1.811585275e-11,0.000000000e+00,-4.925012568e-05,-4.925006227e-05,1.000000000e+00,0.000000000e+00,-1.180490043e-03,-0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-1.180490043e-03,0.000000000e+00
9.000000000e-04,0.000000000e+00,-8.775722920e-08,0.000000000e+00,3.196048507e-02,0.000000000e+00,0.000000000e+00,1.000000000e+00,8.775536344e-06,0.000000000e+00,0.000000000e+00,0.000000000e+00,-1.598024254e-04,-0.000000000e+00,5.107363030e-11,2.042945212e-11,0.000000000e+00,-4.925015269e-05,-4.925008118e-05,1.000000000e+00,0.000000000e+00,-1.253594570e-03,-0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-1.253594570e-03,0.000000000e+00
