t,x,y,z,Ox,Oy,Oz,q0,q1,q2,q3,vx, vy, vz, T_trans, T_rot, U_gr, U_em, E, q_norm,Frx, Fry, Frz, Fdx, Fdy, Fdz, Fextx, Fexty, Fextz
0.000000000e+00,0.000000000e+00,-1.553551836e-11,0.000000000e+00,6.214168150e-04,0.000000000e+00,0.000000000e+00,1.000000000e+00,1.553542037e-09,0.000000000e+00,0.000000000e+00,0.000000000e+00,-3.107084075e-06,-0.000000000e+00,1.930794290e-14,7.723177158e-15,0.000000000e+00,-4.925000003e-05,-4.925000000e-05,1.000000000e+00,0.000000000e+00,-6.581538567e-08,-0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-6.581538567e-08,0.000000000e+00
1.000000000e-04,0.000000000e+00,-1.879560069e-09,0.000000000e+00,6.834287525e-03,0.000000000e+00,0.000000000e+00,1.000000000e+00,1.879558986e-07,0.000000000e+00,0.000000000e+00,0.000000000e+00,-3.417143763e-05,-0.000000000e+00,2.335374299e-12,9.341497195e-13,0.000000000e+00,-4.925000327e-05,-4.925000000e-05,1.000000000e+00,0.000000000e+00,-7.238318300e-07,-0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-7.238318300e-07,0.000000000e+00
2.000000000e-04,0.000000000e+00,-6.849427435e-09,0.000000000e+00,1.304478458e-02,0.000000000e+00,0.000000000e+00,1.000000000e+00,6.849425359e-07,0.000000000e+00,0.000000000e+00,0.000000000e+00,-6.522392292e-05,-0.000000000e+00,8.508320241e-12,3.403328097e-12,0.000000000e+00,-4.925001192e-05,-4.925000001e-05,1.000000000e+00,0.000000000e+00,-1.381596877e-06,-0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-1.381596877e-06,0.000000000e+00
3.000000000e-04,0.000000000e+00,-1.492394555e-08,0.000000000e+00,1.925288704e-02,0.000000000e+00,0.000000000e+00,1.000000000e+00,1.492394247e-06,0.000000000e+00,0.000000000e+00,0.000000000e+00,-9.626443522e-05,-0.000000000e+00,1.853368298e-11,7.413473191e-12,0.000000000e+00,-4.925002597e-05,-4.925000002e-05,1.000000000e+00,0.000000000e+00,-2.039108307e-06,-0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-2.039108307e-06,0.000000000e+00
4.000000000e-04,0.000000000e+00,-2.610191189e-08,0.000000000e+00,2.545857398e-02,0.000000000e+00,0.000000000e+00,1.000000000e+00,2.610190780e-06,0.000000000e+00,0.000000000e+00,0.000000000e+00,-1.272928699e-04,-0.000000000e+00,3.240694945e-11,1.296277978e-11,0.000000000e+00,-4.925004542e-05,-4.925000005e-05,1.000000000e+00,0.000000000e+00,-2.696363904e-06,-0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-2.696363904e-06,0.000000000e+00
5.000000000e-04,0.000000000e+00,-4.038211346e-08,0.000000000e+00,3.166182447e-02,0.000000000e+00,0.000000000e+00,1.000000000e+00,4.038210835e-06,0.000000000e+00,0.000000000e+00,0.000000000e+00,-1.583091224e-04,-0.000000000e+00,5.012355644e-11,2.004942258e-11,0.000000000e+00,-4.925007026e-05,-4.925000009e-05,1.000000000e+00,0.000000000e+00,-3.353361454e-06,-0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-3.353361454e-06,0.000000000e+00
6.000000000e-04,0.000000000e+00,-5.776332681e-08,0.000000000e+00,3.786261763e-02,0.000000000e+00,0.000000000e+00,1.000000000e+00,5.776332067e-06,0.000000000e+00,0.000000000e+00,0.000000000e+00,-1.893130881e-04,-0.000000000e+00,7.167889068e-11,2.867155627e-11,0.000000000e+00,-4.925010050e-05,-4.925000015e-05,1.000000000e+00,0.000000000e+00,-4.010098743e-06,-0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-4.010098743e-06,0.000000000e+00
7.000000000e-04,0.000000000e+00,-7.824431805e-08,0.000000000e+00,4.406093257e-02,0.000000000e+00,0.000000000e+00,1.000000000e+00,7.824431087e-06,0.000000000e+00,0.000000000e+00,0.000000000e+00,-2.203046628e-04,-0.000000000e+00,9.706828893e-11,3.882731557e-11,0.000000000e+00,-4.925013614e-05,-4.925000024e-05,1.000000000e+00,0.000000000e+00,-4.666573559e-06,-0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-4.666573559e-06,0.000000000e+00
8.000000000e-04,0.000000000e+00,-1.018238429e-07,0.000000000e+00,5.025674843e-02,0.000000000e+00,0.000000000e+00,9.999999999e-01,1.018238346e-05,0.000000000e+00,0.000000000e+00,0.000000000e+00,-2.512837421e-04,-0.000000000e+00,1.262870381e-10,5.051481525e-11,0.000000000e+00,-4.925017716e-05,-4.925000036e-05,1.000000000e+00,0.000000000e+00,-5.322783693e-06,-0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-5.322783693e-06,0.000000000e+00
9.000000000e-04,0.000000000e+00,-1.285006465e-07,0.000000000e+00,5.645004436e-02,0.000000000e+00,0.000000000e+00,9.999999999e-01,1.285006372e-05,0.000000000e+00,0.000000000e+00,0.000000000e+00,-2.822502218e-04,-0.000000000e+00,1.593303754e-10,6.373215016e-11,0.000000000e+00,-4.925022357e-05,-4.925000051e-05,1.000000000e+00,0.000000000e+00,-5.978726937e-06,-0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-5.978726937e-06,0.000000000e+00
