t,x,y,z,Ox,Oy,Oz,q0,q1,q2,q3,vx, vy, vz, T_trans, T_rot, U_gr, U_em, E, q_norm
0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-0.000000000e+00,0.000000000e+00,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-0.000000000e+00,0.000000000e+00,1.000000000e+00
1.000000000e-03,-8.928362938e-07,0.000000000e+00,0.000000000e+00,0.000000000e+00,-3.571303470e-01,0.000000000e+00,9.999999960e-01,0.000000000e+00,-8.928361883e-05,0.000000000e+00,-1.785651735e-03,0.000000000e+00,0.000000000e+00,6.377104236e-09,2.550841695e-09,0.000000000e+00,-8.928361847e-09,-4.159163444e-13,1.000000000e+00
2.000000000e-03,-3.571261720e-06,0.000000000e+00,0.000000000e+00,0.000000000e+00,-7.142356395e-01,0.000000000e+00,9.999999362e-01,0.000000000e+00,-3.571261435e-04,0.000000000e+00,-3.571178198e-03,0.000000000e+00,0.000000000e+00,2.550662744e-08,1.020265098e-08,0.000000000e+00,-3.571261207e-08,-3.333660090e-12,1.000000000e+00
3.000000000e-03,-8.035150657e-06,0.000000000e+00,0.000000000e+00,0.000000000e+00,-1.071315704e+00,0.000000000e+00,9.999996772e-01,0.000000000e+00,-8.035149477e-04,0.000000000e+00,-5.356578518e-03,0.000000000e+00,0.000000000e+00,5.738586684e-08,2.295434673e-08,0.000000000e+00,-8.035146884e-08,-1.125526269e-11,1.000000000e+00
4.000000000e-03,-1.428437599e-05,0.000000000e+00,0.000000000e+00,0.000000000e+00,-1.428370092e+00,0.000000000e+00,9.999989798e-01,0.000000000e+00,-1.428437070e-03,0.000000000e+00,-7.141850459e-03,0.000000000e+00,0.000000000e+00,1.020120560e-07,4.080482238e-08,0.000000000e+00,-1.428435613e-07,-2.668296994e-11,1.000000000e+00
5.000000000e-03,-2.231880738e-05,0.000000000e+00,0.000000000e+00,0.000000000e+00,-1.785397947e+00,0.000000000e+00,9.999975094e-01,0.000000000e+00,-2.231878832e-03,0.000000000e+00,-8.926989736e-03,0.000000000e+00,0.000000000e+00,1.593822915e-07,6.375291659e-08,0.000000000e+00,-2.231873273e-07,-5.211922213e-11,1.000000000e+00
6.000000000e-03,-3.213830893e-05,0.000000000e+00,0.000000000e+00,0.000000000e+00,-2.142397866e+00,0.000000000e+00,9.999948357e-01,0.000000000e+00,-3.213825295e-03,0.000000000e+00,-1.071198933e-02,0.000000000e+00,0.000000000e+00,2.294934308e-07,9.179737234e-08,0.000000000e+00,-3.213808698e-07,-9.006661698e-11,1.000000000e+00
7.000000000e-03,-4.374273605e-05,0.000000000e+00,0.000000000e+00,0.000000000e+00,-2.499367763e+00,0.000000000e+00,9.999904329e-01,0.000000000e+00,-4.374259577e-03,0.000000000e+00,-1.249683881e-02,0.000000000e+00,0.000000000e+00,3.123419607e-07,1.249367843e-07,0.000000000e+00,-4.374217728e-07,-1.430278495e-10,1.000000000e+00
8.000000000e-03,-5.713193174e-05,0.000000000e+00,0.000000000e+00,0.000000000e+00,-2.856304732e+00,0.000000000e+00,9.999836798e-01,0.000000000e+00,-5.713162000e-03,0.000000000e+00,-1.428152366e-02,0.000000000e+00,0.000000000e+00,4.079238360e-07,1.631695344e-07,0.000000000e+00,-5.713068760e-07,-2.135056233e-10,1.000000000e+00
9.000000000e-03,-7.230572212e-05,0.000000000e+00,0.000000000e+00,0.000000000e+00,-3.213204912e+00,0.000000000e+00,9.999738595e-01,0.000000000e+00,-7.230509099e-03,0.000000000e+00,-1.606602456e-02,0.000000000e+00,0.000000000e+00,5.162342903e-07,2.064937161e-07,0.000000000e+00,-7.230320090e-07,-3.040025271e-10,1.000000000e+00
