t,x,y,z,Ox,Oy,Oz,q0,q1,q2,q3,vx, vy, vz, T_trans, T_rot, U_gr, U_em, E, q_norm
0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,1.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-0.000000000e+00,0.000000000e+00,1.000000000e+00
1.000000000e-03,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-1.250000000e-01,9.999999995e-01,0.000000000e+00,0.000000000e+00,-3.124999999e-05,0.000000000e+00,-0.000000000e+00,-0.000000000e+00,0.000000000e+00,3.124999998e-10,0.000000000e+00,-3.124999998e-10,1.012055479e-21,1.000000000e+00
2.000000000e-03,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-2.499999984e-01,9.999999922e-01,0.000000000e+00,0.000000000e+00,-1.249999994e-04,0.000000000e+00,-0.000000000e+00,-0.000000000e+00,0.000000000e+00,1.249999984e-09,0.000000000e+00,-1.249999984e-09,1.625616699e-20,1.000000000e+00
3.000000000e-03,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-3.749999881e-01,9.999999604e-01,0.000000000e+00,0.000000000e+00,-2.812499933e-04,0.000000000e+00,-0.000000000e+00,-0.000000000e+00,0.000000000e+00,2.812499822e-09,0.000000000e+00,-2.812499822e-09,8.235120665e-20,1.000000000e+00
4.000000000e-03,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-4.999999500e-01,9.999998750e-01,0.000000000e+00,0.000000000e+00,-4.999999625e-04,0.000000000e+00,-0.000000000e+00,-0.000000000e+00,0.000000000e+00,4.999999000e-09,0.000000000e+00,-4.999999000e-09,2.603377270e-19,1.000000000e+00
5.000000000e-03,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-6.249998474e-01,9.999996948e-01,0.000000000e+00,0.000000000e+00,-7.812498569e-04,0.000000000e+00,-0.000000000e+00,-0.000000000e+00,0.000000000e+00,7.812496185e-09,0.000000000e+00,-7.812496185e-09,6.356535592e-19,1.000000000e+00
6.000000000e-03,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-7.499996203e-01,9.999993672e-01,0.000000000e+00,0.000000000e+00,-1.124999573e-03,0.000000000e+00,-0.000000000e+00,-0.000000000e+00,0.000000000e+00,1.124998861e-08,0.000000000e+00,-1.124998861e-08,1.318175172e-18,1.000000000e+00
7.000000000e-03,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-8.749991793e-01,9.999988276e-01,0.000000000e+00,0.000000000e+00,-1.531248923e-03,0.000000000e+00,-0.000000000e+00,-0.000000000e+00,0.000000000e+00,1.531247128e-08,0.000000000e+00,-1.531247127e-08,2.442174658e-18,1.000000000e+00
8.000000000e-03,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-9.999984000e-01,9.999980000e-01,0.000000000e+00,0.000000000e+00,-1.999997600e-03,0.000000000e+00,-0.000000000e+00,-0.000000000e+00,0.000000000e+00,1.999993600e-08,0.000000000e+00,-1.999993600e-08,4.166333383e-18,1.000000000e+00
9.000000000e-03,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-1.124997117e+00,9.999967964e-01,0.000000000e+00,0.000000000e+00,-2.531245134e-03,0.000000000e+00,-0.000000000e+00,-0.000000000e+00,0.000000000e+00,2.531237025e-08,0.000000000e+00,-2.531237025e-08,6.673742813e-18,1.000000000e+00
1.000000000e-02,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-1.249995117e+00,9.999951172e-01,0.000000000e+00,0.000000000e+00,-3.124990844e-03,0.000000000e+00,-0.000000000e+00,-0.000000000e+00,0.000000000e+00,3.124975586e-08,0.000000000e+00,-3.124975585e-08,1.017191940e-17,1.000000000e+00
1.100000000e-02,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-1.374992136e+00,9.999928511e-01,0.000000000e+00,0.000000000e+00,-3.781233779e-03,0.000000000e+00,-0.000000000e+00,-0.000000000e+00,0.000000000e+00,3.781206749e-08,0.000000000e+00,-3.781206748e-08,1.489272518e-17,1.000000000e+00
1.200000000e-02,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-1.499987850e+00,9.999898751e-01,0.000000000e+00,0.000000000e+00,-4.499972661e-03,0.000000000e+00,-0.000000000e+00,-0.000000000e+00,0.000000000e+00,4.499927101e-08,0.000000000e+00,-4.499927099e-08,2.109245711e-17,1.000000000e+00
1.300000000e-02,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-1.624981871e+00,9.999860543e-01,0.000000000e+00,0.000000000e+00,-5.281205807e-03,0.000000000e+00,-0.000000000e+00,-0.000000000e+00,0.000000000e+00,5.281132160e-08,0.000000000e+00,-5.281132157e-08,2.905172131e-17,1.000000000e+00
1.400000000e-02,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,0.000000000e+00,-1.749973739e+00,9.999812424e-01,0.000000000e+00,0.000000000e+00,-6.124931062e-03,0.000000000e+00,-0.000000000e+00,-0.000000000e+00,0.000000000e+00,6.124816177e-08,0.000000000e+00,-6.124816173e-08,3.907557539e-17,1.000000000e+00
